mental,random,story,math
0.674286527,0.669874056,0.75547542,0.693148923
0.635063009,0.531244547,0.596502976,0.657167813
0.669627583,0.735409471,0.641439513,0.613275255
0.420715099,0.42320092,0.55391535,0.336936386
0.417104452,0.456790786,0.61452608,0.557531154
0.514758857,0.530419832,0.552735951,0.505083532
0.697386441,0.663348164,0.531842735,0.618506284
0.725241018,0.697053997,0.679859868,0.677486227
0.471469665,0.415313425,0.549292209,0.441669212
0.667634036,0.684730704,0.58182967,0.637296254
0.546172805,0.511691943,0.376634732,0.367643978
0.573260936,0.542236932,0.598645937,0.708560681
0.416143121,0.525544007,0.534734462,0.475997238
0.739166762,0.739121399,0.707039605,0.685370504
0.584086254,0.594340488,0.539750591,0.578988118
0.484502281,0.405619001,0.400962963,0.432318484
0.615334402,0.558114477,0.423053898,0.587835997
0.474547799,0.37502687,0.384984852,0.420977646
0.530659552,0.558630617,0.730913907,0.584116221
0.358041034,0.398788704,0.38847798,0.292749561
0.401205944,0.374498115,0.411862143,0.347411178
0.600343161,0.514492427,0.553702272,0.471916978
0.569405873,0.544923823,0.601633558,0.662775444
0.618777345,0.554276198,0.647265727,0.636689898
0.08604117,0.221048415,0.204838971,0.233145845
0.521380572,0.436024779,0.336752271,0.424637497
0.583909925,0.556174433,0.74908007,0.702351297
0.645869504,0.732710678,0.654715317,0.63106182
0.622402554,0.534973164,0.404789652,0.465204536
0.334057104,0.570825921,0.502446985,0.460024376
0.446364878,0.496179521,0.508276114,0.501711735
0.520348291,0.593603164,0.571119695,0.553626036
0.481594845,0.480156763,0.532054959,0.616819244
0.440236297,0.407033603,0.583406472,0.619505165
0.485309352,0.407954368,0.501822356,0.479738959
0.423776125,0.53973229,0.557021365,0.559554177
0.512312113,0.591469728,0.567804849,0.570900568
0.481530642,0.666525998,0.606883796,0.568468472
0.59431475,0.620705807,0.647625836,0.677490455
0.565362902,0.57389757,0.521852832,0.421759203
0.490451412,0.472359489,0.463403419,0.433736436
0.62791499,0.539991821,0.566876771,0.602770789
0.258667818,0.386884678,0.540877926,0.44955972
0.330213727,0.285139145,0.281438744,0.305929237
0.616560177,0.567692901,0.51398342,0.605795154
0.592796413,0.593241765,0.623329584,0.672131648
0.581613709,0.608341692,0.619565895,0.676219373
0.360160165,0.38024969,0.284477423,0.274244423
0.66695232,0.70236212,0.72490095,0.63705549
0.666440189,0.549317697,0.272711805,0.337168234
0.441323379,0.282506579,0.393634288,0.355403876
0.45942712,0.459933267,0.42121864,0.478040325
0.258590181,0.181211385,0.322403965,0.404056785
0.508715574,0.378054561,0.51308195,0.448669513
0.397914533,0.522694892,0.40374026,0.36746476
0.595719855,0.562441412,0.544609953,0.567706792
0.544790395,0.648948099,0.476589292,0.498768082
0.5310166,0.563407372,0.367744029,0.2816287
0.77899349,0.744653483,0.792282795,0.793580795
0.343636947,0.381063322,0.518679407,0.414075943
0.626189794,0.620418547,0.649039441,0.733792707
0.28635582,0.436165974,0.511056429,0.42278179
0.438025616,0.509728424,0.588271051,0.603446678
0.560601867,0.599817653,0.660288283,0.639207014
0.464486521,0.38145714,0.520531195,0.478583999
0.595234785,0.599033319,0.621200545,0.660580494
0.597219463,0.651331735,0.631693423,0.661802814
0.339162578,0.414139001,0.463964355,0.455268258
0.399855039,0.465677589,0.42978036,0.48879631
0.500483961,0.601282171,0.570543368,0.58192408
0.519354061,0.587388205,0.422008837,0.490755698
0.62412023,0.547365764,0.638883224,0.631713957
0.503672742,0.497293864,0.549148801,0.420399679
0.532061794,0.55029606,0.730982601,0.650805313
0.652847155,0.676052748,0.625074087,0.630035483
0.414014268,0.568987264,0.559338792,0.592964885
0.493074037,0.504849783,0.664531253,0.638331756
0.342405228,0.269842746,0.302905063,0.312312112
0.201836888,0.361257061,0.485935595,0.467226798
0.270145538,0.188971121,0.339297709,0.446930464
0.29186916,0.449897355,0.343377787,0.466673623
0.698242928,0.517693827,0.634425662,0.604688015
0.556402939,0.531044265,0.619322756,0.626865125
0.580944194,0.590561081,0.669928684,0.60183783
0.445727097,0.550205481,0.582562002,0.603475966
0.469518746,0.439738197,0.577295421,0.578370822
0.48158899,0.533553596,0.446604862,0.504384531
